Team,Home games,Away games,Total games,Team ID
Denver Nuggets,41,41,82,139
Memphis Grizzlies,41,41,82,146
Sacramento Kings,41,41,82,157
Phoenix Suns,41,41,82,155
Golden State Warriors,41,41,82,141
Los Angeles Clippers,41,41,82,144
New Orleans Pelicans,41,41,82,150
Los Angeles Lakers,41,41,82,145
Minnesota Timberwolves,41,41,82,149
Oklahoma City Thunder,41,41,82,152
Dallas Mavericks,41,41,82,138
Utah Jazz,41,41,82,160
Portland Trail Blazers,41,41,82,156
Houston Rockets,41,41,82,142
San Antonio Spurs,41,41,82,158
Milwaukee Bucks,41,41,82,148
Boston Celtics,41,41,82,133
Philadelphia 76ers,41,41,82,154
Cleveland Cavaliers,41,41,82,137
New York Knicks,41,41,82,151
Brooklyn Nets,41,41,82,134
Miami Heat,41,41,82,147
Atlanta Hawks,41,41,82,132
Toronto Raptors,41,41,82,159
Chicago Bulls,41,41,82,136
Washington Wizards,41,41,82,161
Orlando Magic,41,41,82,153
Indiana Pacers,41,41,82,143
Charlotte Hornets,41,41,82,135
Detroit Pistons,41,41,82,140
