Team,Home points against,Away points against,Total points against,Team ID
Denver Nuggets,4494,4728,9222,139
Memphis Grizzlies,4477,4787,9264,146
Sacramento Kings,4924,4757,9681,157
Phoenix Suns,4479,4670,9149,155
Golden State Warriors,4581,5024,9605,141
Los Angeles Clippers,4534,4739,9273,144
New Orleans Pelicans,4507,4716,9223,150
Los Angeles Lakers,4666,4895,9561,145
Minnesota Timberwolves,4716,4781,9497,149
Oklahoma City Thunder,4741,4803,9544,152
Dallas Mavericks,4620,4740,9360,138
Utah Jazz,4792,4885,9677,160
Portland Trail Blazers,4892,4736,9628,156
Houston Rockets,4721,5004,9725,142
San Antonio Spurs,4978,5114,10092,158
Milwaukee Bucks,4612,4679,9291,148
Boston Celtics,4529,4607,9136,133
Philadelphia 76ers,4491,4603,9094,154
Cleveland Cavaliers,4304,4460,8764,137
New York Knicks,4633,4641,9274,151
Brooklyn Nets,4512,4713,9225,134
Miami Heat,4520,4483,9003,147
Atlanta Hawks,4813,4874,9687,132
Toronto Raptors,4499,4634,9133,159
Chicago Bulls,4558,4612,9170,136
Washington Wizards,4699,4679,9378,161
Orlando Magic,4704,4642,9346,153
Indiana Pacers,4909,4887,9796,143
Charlotte Hornets,4762,4848,9610,135
Detroit Pistons,4859,4860,9719,140
