Team,Home points for,Away points for,Total points for,Team ID
Denver Nuggets,4895,4600,9495,139
Memphis Grizzlies,4911,4676,9587,146
Sacramento Kings,5058,4840,9898,157
Phoenix Suns,4678,4641,9319,155
Golden State Warriors,4908,4845,9753,141
Los Angeles Clippers,4622,4692,9314,144
New Orleans Pelicans,4712,4666,9378,150
Los Angeles Lakers,4798,4810,9608,145
Minnesota Timberwolves,4753,4741,9494,149
Oklahoma City Thunder,4954,4679,9633,152
Dallas Mavericks,4730,4636,9366,138
Utah Jazz,4836,4764,9600,160
Portland Trail Blazers,4740,4559,9299,156
Houston Rockets,4541,4540,9081,142
San Antonio Spurs,4718,4551,9269,158
Milwaukee Bucks,4872,4717,9589,148
Boston Celtics,4941,4730,9671,133
Philadelphia 76ers,4682,4766,9448,154
Cleveland Cavaliers,4640,4565,9205,137
New York Knicks,4808,4706,9514,151
Brooklyn Nets,4634,4661,9295,134
Miami Heat,4569,4408,8977,147
Atlanta Hawks,4905,4806,9711,132
Toronto Raptors,4689,4565,9254,159
Chicago Bulls,4676,4600,9276,136
Washington Wizards,4684,4595,9279,161
Orlando Magic,4687,4449,9136,153
Indiana Pacers,4876,4659,9535,143
Charlotte Hornets,4479,4619,9098,135
Detroit Pistons,4605,4440,9045,140
